iteration,operator_0,operator_1,operator_2,operator_3
963,0,0,0,0
964,0,0,0,0
965,-52008249,0,0,0
966,0,249768,0,0
967,0,-52258017,0,0
968,-52258017,0,0,0
969,0,0,0,0
970,2992,0,0,0
971,0,-52261009,0,0
972,0,3571,0,0
973,0,69101,0,0
974,-52333681,0,0,0
975,0,0,0,0
976,-52333681,0,0,0
977,0,0,0,0
978,0,0,0,0
979,0,0,-52333681,0
980,0,0,-52333681,0
981,-53984,0,0,0
982,-52279697,0,0,0
983,0,0,0,-52279697
984,0,-52279697,0,0
985,0,0,0,0
986,0,0,-89429,0
987,33603,0,0,0
988,-52223871,0,0,0
989,0,0,0,0
990,0,-52223871,0,0
991,-52223871,0,0,0
992,-51812,0,0,0
993,-133417,0,0,0
994,153830,0,0,0
995,64697,0,0,0
996,0,-52257169,0,0
997,-119424,0,0,0
998,0,-37831,0,0
999,-107290,0,0,0
1000,0,0,0,0
1001,0,0,9779,0
1002,-52002403,0,0,0
1003,0,120681,0,0
1004,0,0,0,0
1005,22327,0,0,0
1006,-52145411,0,0,0
1007,61350,0,0,0
1008,0,-37651,0,0
1009,0,-52169110,0,0
1010,0,0,-52169110,0
1011,0,0,0,0
1012,-140996,0,0,0
1013,0,0,0,-52028114
1014,-52028114,0,0,0
1015,21136,0,0,0
1016,0,-52049250,0,0
1017,0,0,232279,0
1018,0,0,-52281529,0
1019,0,-52281529,0,0
1020,0,-52281529,0,0
1021,-52281529,0,0,0
1022,0,124824,0,0
1023,0,89656,0,0
1024,0,0,0,0
1025,0,0,0,0
1026,0,-52496009,0,0
1027,59829,0,0,0
1028,0,-52555838,0,0
1029,0,0,0,0
1030,0,0,-52555838,0
1031,0,-38975,0,0
1032,-117324,0,0,0
1033,-52399539,0,0,0
1034,-86486,0,0,0
1035,0,0,0,0
1036,0,-52313053,0,0
1037,-52313053,0,0,0
1038,0,0,-52313053,0
1039,0,3963,0,0
1040,0,0,-52317016,0
1041,-52317016,0,0,0
1042,0,103718,0,0
1043,-52420734,0,0,0
1044,0,0,0,-52420734
1045,0,-52420734,0,0
1046,0,0,0,0
1047,0,0,0,0
1048,0,0,0,-52420734
1049,0,0,-52420734,0
1050,0,0,-52420734,0
1051,0,0,-52420734,0
1052,-198799,0,0,0
1053,0,0,0,0
1054,-47730,0,0,0
1055,0,-52174205,0,0
1056,21738,0,0,0
1057,0,0,0,0
1058,0,0,-52195943,0
1059,0,-129514,0,0
1060,-52066429,0,0,0
1061,0,0,0,-52066429
1062,0,-52066429,0,0
1063,-52066429,0,0,0
1064,-52066429,0,0,0
1065,0,-52066429,0,0
1066,-52066429,0,0,0
1067,0,0,0,0
1068,158955,0,0,0
1069,0,0,0,0
1070,0,-52225384,0,0
1071,-118984,0,0,0
1072,0,0,0,-52106400
1073,-5408,0,0,0
1074,0,0,0,0
1075,-52100992,0,0,0
1076,0,-52100992,0,0
1077,-52100992,0,0,0
1078,0,0,-52100992,0
1079,0,0,-52100992,0
1080,0,-52100992,0,0
1081,0,0,0,0
1082,0,0,0,0
1083,0,-52100992,0,0
1084,0,-52100992,0,0
1085,0,0,0,0
1086,0,0,0,0
1087,0,0,0,-52100992
1088,0,0,0,0
1089,0,0,0,-52100992
1090,0,250752,0,0
1091,0,0,0,0
1092,0,0,0,0
1093,0,0,0,-52351744
1094,-86891,0,0,0
1095,0,-841545,0,0
1096,0,-51423308,0,0
1097,0,0,0,0
1098,-35781,0,0,0
1099,0,0,-51387527,0
1100,50458,0,0,0
1101,0,-378533,0,0
1102,110385,0,0,0
1103,0,0,-51169837,0
1104,-51169837,0,0,0
1105,0,0,0,0
1106,0,0,0,0
1107,0,-51169837,0,0
